31TZF11rSkzsidVEnxWobJVYCTqTvh1rcCiQGKnQnLCf,4
BMw8nbLo7Vd8hVaUUBULuwkCPriDpbbMepS83X5t8VdU,5
ChwHhSShVWS119JkeVmjnQ75od1xCGFDAYRvbjoR2Djo,1
GHGu1sXJxMXR7bLt1ZxeATufkNYs6QhZDfw4ufKFKHFX,4
Ecx4vPXVVkWBNkGZM23e663dz1r2c5juWPUoqeu7orab,8
G6kYFCmURyhUptbEZrbR8iPu7DUY8SWgAgXfLySanCkD,7
6riv7NU1VsZsPq9yKfVodS3sVor316ZkAYVwZrg4bxM6,26
3AE4BC9fZZztj4Rxj7bG9CxvySa8rembN4rREmx5kYaq,6
26af81AS9GynY9jBf23C3R9zkXUyyVMYk9gR2bqhcV18,1
BVH8WezVi87Kf1j4NFgnHhMhVRwg8y2W3JHPXdpJZ8r3,5
3kP15Ts3CtR83rBHvjV35riKJ1S1E1Vyokg2Hywqaf7V,522
3aUM1bmY54CY1by9Yj7ZWiX2bSvcgwEHzsaPwcG4o4Ra,16
2HtiTuaRqN4fTEXzfhzPNtHq9xs3kFPKnSpxWNjMLgjQ,8
8W515FaXy8XyPBhpUVBVkyce8mNjvE7q8qSN9aKLbHUJ,6
4E86HGiYVQyin1HaJUp3fvx8WaCWL4ZAK3oUom5gCQVG,128
DJ3ACvvKUMnhc92ijMCZfyituzrSyz8VXrTJg8WshidG,24
B81eUKp5nukGsu51ZRabcwfRE18rTNwradGwurpcNo6p,7
C61ktbQ4s1ZBu9Q8Ys6iwAUtXxbd17TZEX5ZFHuF66Uo,3
3uVkerZSPfG8nKproVyF5oWRszS3tzKWrvU15HUGjc2L,1
DpSBr31iGPjhTGH5jceCea4EEaw9q1PU98F5xoxMFzXq,444
DjVzGJrGpv1vLK8gJ7X1mBCHXq6u2Q4cyTDcuZhqWg3g,2
87miAspJAhVFaHM2oCmSxetn96yRKg1Y9kuMnk2TkPtz,8
AunHJk5iDcRozfGjF8op5qZfJ3EfLkagSbcgEtbQQ4QD,1
98meWEgzz1LdAYCgFAZGmYmWi7oUwttXnFDptiAZLcW8,2
CswSDpgCetLMhjWV4RV3rmaLm8WZuNxTw2UQhAwL8Crk,11
EE2EswcDU3cRGHvXmuonDBtbEURpb6sVwTLEcfPqRQhp,50
3fCBWko2CETuHsJeGgSZQn3mrdemDAJxnLHt8FWm5nxY,19
GjepdW6vYSQcFhSXMqDw9bbt9RVhaSb2GtpYYoTbo88Y,24
CCbnMbyFTaGNNg383ATaPmfVLqns1GjC5auRDqLmZUMK,63
GDA34trePQ8YDan2gYFbD7HKudHzuFEWPY8buZgXGrH5,6
8WjLZHRRPeKMSP13PuGaSF2gjc6Be6HtEmfutquFDo8S,8
CUrxBYZ2QbHau8kppe2dLGcjWcu6fx1XjWF3oQARu5Bo,1
5iEMPxuDw7UyqfnQPy1iFoBCsRZebQQNJxeEKE1V6Jmu,68
GnQnHEii6ZH7MkKA7mbiE3pZFYP3pyZBuvLmTVrDPkeu,1
8e8yeLB2S8nRMmNNi1G2gX6BgUUsSqf9P9D4BfZE3ERk,81
HrgRrUdJ9wbjswvVWGGmg4fum1qKKkYnaCParZrHNK8p,9
29hMkcoTCZn2dfNe2sUWS1tCsfve3u2PvLTundZJ8RhN,4
DYj6MVcTkJD44ibVE89mb68jwv9GSqQ1v2g6arRoQBLi,9
7KQLkMsidkaRS792AZZBJMAWXsQ2xXhvBdHSBD8QdbiD,271
7EyPvXkNptHtAvetesxKJ7GxEWDeRE28n6KyGUxRBDkC,4
EPDPbzJQmfU7UHzwq5SUdG6QueCmTmQMcFpZ1fmhjyfK,29
5oaKYpVszcFLcqekvNdDp5pSsrEarfehUmZ1tfyNM9Xk,4
78sm8nFvXapTGskLcn9aGZiGUuYst58v3YJ2kULRn4zT,83
F4zY8xAjFVezhmGJ5beYTjy3aW7vdvkGHm2a7kUBvWGN,12
87uzWLoJRvaKHXbHHqHrcbDjzmGV5ZrBt1B8d5oLHPKp,9
J25WGXMv4629HjquLMnLha5nqcaAxawhB7TsfbnRf2PV,18
A8rgsJecHutEamvb7e8p1a14LQH3vGRPr796CDaESMeu,152
5FFCbrBAycsGyZiLF91v8XgdLoSCx21pLjqvcTyYtXya,5
ETG4TnJGRbSgCTsjMseErDoez16HVXw6wr7tDD7Y6Fiv,11
FHDCLXx21pGUSXpQfyzYuE1TNKM5war4EpHruNACjmuw,2
EGnKSY8efkmWvb6hsQ43pHWzC6UkKb6mH6J4PyDwGwoZ,6
39FniKsSeSyv7TuqjK7LqQaQiC7v7YMwJeE1sSDyU7EE,617
AJ5rsGhTKaNPGGJbWXZtXT42PHF75kaF2V42b5n2pino,1
4Ce6DBKpY5muvvtgAvKxmxBv882w8zrHejE2GbGyozsS,3
9qivEU3UDJMJNuDdqvLPAXLapsPkLWQvWTY1Pov9QQRt,2768
B74FE1oMixhXDVjhW8A9DaLjMCj6AyZNCrrtoRgCkmVs,13
Di1smao63qfUCUg6S6Lso5bNdyL5LqjzmDVEV5bjVYo8,1078
HfAydvgGZMXUjSBme5WDJM7trsWGk9NdaXiQ3Zn6nDqW,58
7TSu5dSRbnbxRgYb1bwwAELyP5bWWugRCug8vqg1UL7V,3
ELSVyWrcYUwBqLFjCcn4HGznVcavnagV1JXrZKWqdBUv,1
CHWubBbfJD1aiNkU5zGPXWM4UXiz8CqU7V1xWfrFpAj2,1
8ZqF412te1TQaRUJcYoQF88zW7JNVoSk7yyXZkmsZHV6,3
8dynLgNCm9jyV3SyA7BjbF39EQ6SxJUHPVZcAu9zcbMu,2
279Sijg32H8eAntw7zBvB9ztrHc6VJQoZS7skjQbeWNs,83
D8TbgxmxZCSMUtbFNS5rNhV7yhWrAEMQFpzdCnwxET1U,10
EbamkCC43vRGz2raEStcJVkT5kk8MkFYzVVCkgoRRsbC,7
DVhm7GhV5U5iDCA7u8C29eSFSaSpzZqC3XnZuGtvadqK,3
2d4GzuZGbCd8adhNgRtezJkfREyYfKxpmBi3pEjv5wxs,17
BxL7n1hKcNpSDJhpu6wfmrZsJfmbxLgUBUbbz1CJzx9r,5
v1mRJpR6zWbrxskMdzz3HthPG6zGF1E2PupyArqwW3A,7
G8x8UZxsCg1jTuAJntrSQfwmfsVLvdYVHDjyDsRCsfSp,71
BJBrYDbuhcTKdL1DbekyshadAWjgLwKXZpfN1kZUkoBK,135
DDYmuzdXf7ADvFCMVeut2AL9wU6u6xXHdCE3nSiErBK6,120
48LMQSpof6ChUKJycq4aEmWR2uzjmciYYTuZFCgVEjRe,118
AriZ2mTjzDpaeiVFEgk9nt6SVbRcyxetxabBVhmsHoFd,1
BdEvhvwGt3b4JfBarKYohuyZKgsVdoqXVFBGDT1Si5Rb,43
766aLueXT5hda9vzaj3LNAJJRTso8adFwPHmACjLhLfx,25
7uhibKsf9DpiwK9DEuYmMvj7GytJgjBhvNEvTZcPmNef,3
47tH5cXswBcR791cm5hP2s9niWQFrYAk1R8KNFyxNjt1,1
FyVTJnari6gUNXhe6oF976dV61tVhdsKV6XEcurhFjgp,19
2CSrYrk5L92pgVzZ7Y4akf4iRYXwxPVrqNuQhA13k5Ge,1
3yxxm6f4kuAwRanE5qvFccHN29Y3cPmtfJZG9qpeeKfx,12
WN3bN2vHHthDEXBMpZWD8eHEeHygLbnCXMD9eX8u8mP,18
881UoBphwnhS2iPvBanjdJ5QpNs3HbsNemZia7qjtXTY,11
